,state,latitude,longitude,name, avg2009
0,AK,63.588753000000004,-154.493062,Alaska,6.8143939393939394
1,AR,35.20105,-91.83183299999999,Arkansas,5.299567099567098
2,AZ,34.048928000000004,-111.093731,Arizona,6.267857142857144
3,CA,36.778261,-119.41793200000001,California,6.787121212121212
4,CO,39.550051,-105.782067,Colorado,4.691233766233767
5,CT,41.603221000000005,-73.087749,Connecticut,6.0781385281385285
6,DE,38.910832,-75.52767,Delaware,5.322835497835498
7,FL,27.664827000000002,-81.515754,Florida,5.719588744588744
8,GA,32.157435,-82.907123,Georgia,6.350541125541126
9,HI,19.898682,-155.66585700000002,Hawaii,3.8076839826839817
10,IA,41.878003,-93.097702,Iowa,3.872835497835498
11,ID,44.068202,-114.74204099999999,Idaho,4.586363636363637
12,IL,40.633125,-89.398528,Illinois,6.593831168831168
13,IN,40.551217,-85.602364,Indiana,5.459848484848485
14,KS,39.011902,-98.484246,Kansas,4.38582251082251
15,KY,37.839333,-84.27001800000001,Kentucky,6.035064935064937
16,LA,31.244822999999997,-92.14502399999999,Louisiana,6.068506493506495
17,MA,42.407211,-71.382437,Massachusetts,4.985173160173161
18,MD,39.045755,-76.641271,Maryland,5.292424242424242
19,ME,45.253783,-69.44546899999999,Maine,4.92435064935065
20,MI,44.314844,-85.602364,Michigan,6.327597402597402
21,MN,46.729553,-94.6859,Minnesota,4.086796536796537
22,MO,37.964253,-91.83183299999999,Missouri,5.182575757575757
23,MS,32.354668,-89.398528,Mississippi,6.734307359307358
24,MT,46.879682,-110.36256599999999,Montana,4.5649350649350655
25,NC,35.759572999999996,-79.0193,North Carolina,6.1090909090909085
26,ND,47.551493,-101.002012,North Dakota,2.8244588744588732
27,NE,41.492537,-99.901813,Nebraska,3.278679653679654
28,NH,43.193852,-71.572395,New Hampshire,3.7713203463203455
29,NJ,40.058324,-74.405661,New Jersey,6.2564935064935066
30,NM,34.97273,-105.03236299999999,New Mexico,6.364069264069265
31,NV,38.802609999999994,-116.419389,Nevada,7.226406926406928
32,NY,43.299428000000006,-74.217933,New York,5.931060606060607
33,OH,40.417287,-82.907123,Ohio,5.7127705627705625
34,OK,35.007752,-97.092877,Oklahoma,4.5564935064935055
35,OR,43.804133,-120.554201,Oregon,5.999999999999999
36,PA,41.203322,-77.194525,Pennsylvania,5.832575757575759
37,PR,18.220833,-66.590149,Puerto Rico,12.335606060606056
38,RI,41.580095,-71.477429,Rhode Island,6.693073593073592
39,SC,33.836081,-81.163725,South Carolina,5.993398268398267
40,SD,43.969515,-99.901813,South Dakota,3.4018398268398267
41,TN,35.517491,-86.58044699999999,Tennessee,5.682359307359308
42,TX,31.968598999999998,-99.901813,Texas,5.040584415584417
43,UT,39.32098,-111.093731,Utah,3.8744588744588735
44,VA,37.431573,-78.656894,Virginia,4.60995670995671
45,VT,44.558803000000005,-72.577841,Vermont,3.6453463203463197
46,WA,47.751073999999996,-120.74013899999999,Washington,5.898376623376625
47,WI,43.784440000000004,-88.787868,Wisconsin,4.845454545454545
48,WV,38.597626,-80.454903,West Virginia,6.3047619047619055
49,WY,43.075967999999996,-107.29028400000001,Wyoming,4.546320346320346
