Date,Overall Unemployment,Reentrants to Labor Force,New Entrants to Labor Force
2006-01,-0.3047589171220852,-0.22485357282311602,-0.3698445641614413
2006-02,-0.2918806170576937,-0.1969347910972277,-0.26077452971827253
2006-03,-0.3039003637844591,-0.26901600937133935,-0.34688245164709
2006-04,-0.2987490437587025,-0.2700312377977353,-0.39854720480438044
2006-05,-0.31377372716715923,-0.2888129636860602,-0.48350702110748034
2006-06,-0.31152002465589074,-0.27459976571651706,-0.3354013953899143
2006-07,-0.29284648956252307,-0.1685083951581414,-0.3434381347699373
2006-08,-0.3018612996075971,-0.2182545880515424,-0.3354013953899143
2006-09,-0.32804717640519315,-0.21114798906677085,-0.3744369866643115
2006-10,-0.34092547646958465,-0.22789925810230385,-0.4203612116930142
2006-11,-0.3253641972251116,-0.23297540023428354,-0.39854720480438044
2006-12,-0.3371693056174705,-0.275107379929715,-0.40428773293296827
2007-01,-0.2991783204275155,-0.2563256540413901,-0.36295593040713586
2007-02,-0.31946164302893215,-0.3157165169855526,-0.3893623597986399
2007-03,-0.3404961998007716,-0.2781530652089028,-0.37099266978715884
2007-04,-0.32772521890358336,-0.275107379929715,-0.365252141658571
2007-05,-0.3367400289486574,-0.2786606794221008,-0.46858164797315194
2007-06,-0.3138810463343625,-0.2999804763764155,-0.3422900291442197
2007-07,-0.2956367879098079,-0.3299297149550957,-0.3859180429214872
2007-08,-0.3044369596204754,-0.3334830144474815,-0.4019915216815331
2007-09,-0.29338308539853936,-0.2720616946505272,-0.31014307162412785
2007-10,-0.2861927011959208,-0.3136860601327607,-0.277996114104036
2007-11,-0.285870743694311,-0.27459976571651706,-0.2986620153669522
2007-12,-0.2424064809769897,-0.18779773525966426,-0.29751390974123465
2008-01,-0.2381137142888592,-0.2542951971885983,-0.29981012099266974
2008-02,-0.2582897177230725,-0.291858648965248,-0.32392033913273865
2008-03,-0.2234109883820122,-0.29591956267083175,-0.2688112690982955
2008-04,-0.24326503431461577,-0.2969347910972277,-0.3595116135299832
2008-05,-0.1619171055745428,-0.10708707536118708,-0.16203744590656183
2008-06,-0.14259965547795556,-0.08678250683326831,-0.17466660778945506
2008-07,-0.10375011695037453,-0.021300273330730236,-0.11840943212929432
2008-08,-0.04998321418154001,-0.024853572823116024,-0.13448291088934025
2008-09,-0.04397334081815731,-0.05327996876220232,-0.14137154464364565
2008-10,0.01827177615973494,-0.04109722764545105,-0.1367791221407754
2008-11,0.06806786974204874,-0.005564232721593181,-0.2010730371809591
2008-12,0.1483426068100891,0.06194845763373677,-0.15514881215225643
2009-01,0.23119300389100775,0.051796173369777376,-0.1872957696723483
2009-02,0.32134110434174823,0.11930886372510732,0.0698798904883865
2009-03,0.37800562462507087,0.1644865286997266,-0.07592952397774438
2009-04,0.42383090902086396,0.2045880515423662,-0.04263446083193497
2009-05,0.4931590910341715,0.25230378758297534,0.030844299213989256
2009-06,0.5154814778124501,0.3182936352987114,0.07217610173982163
2009-07,0.5041056460889043,0.28225302616165554,0.07562041861697433
2009-08,0.5269646287031992,0.29342053885201086,0.16861697430009717
2009-09,0.5478918663078354,0.2832682545880515,0.24668815684889167
2009-10,0.5847023406585544,0.3589027723545489,0.1881347699372958
2009-11,0.5704288914205206,0.27007028504490427,0.44990285260090085
2009-12,0.5574432721889258,0.3385982038266302,0.34772145191203746
2010-01,0.5518626754943561,0.48022256930886364,0.29490859312902945
2010-02,0.5590530596969747,0.3883443967200312,0.29146427625187676
2010-03,0.5686044655780651,0.4502733307301835,0.2386514174688687
2010-04,0.5818047231440664,0.542151503319016,0.28572374812328893
2010-05,0.5307207995553134,0.34722764545099566,0.3029453325090524
2010-06,0.49047611185408996,0.3025575946895743,0.27079837498896053
2010-07,0.4945542402078139,0.341643889105818,0.3098339662633578
2010-08,0.5091496469474577,0.33910581803982814,0.3902013600635874
2010-09,0.5017446244104325,0.3528114017961733,0.3201669168948159
2010-10,0.49498351687662695,0.39443576727840685,0.38905325443786987
