Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,
(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,"Total
Construction1","Total
Residential","Total
Nonresidential","Total
Lodging","Total
Office","Total
Commercial","Total
Health care",Date,"Total
Educational","Total
Religious","Total
Public safety","Total
Amusement and recreation","Total
Transportation","Total
Communication",Date,"Total
Power","Total
Highway and street","Total
Sewage and waste disposal","Total
Water supply","Total
Conservation and development","Total
Manufacturing",Date,"Total
Private Construction2","Private
Residential","Private
Nonresidential","Private
Lodging","Private
Office","Private
Commercial","Private
Health care",Date,"Private
Educational","Private
Religious","Private
Amusement and recreation","Private
Transportation","Private
Communication","Private
Power","Private
Manufacturing",Date,"Total
Public Construction3","Public
Residential","Public
Nonresidential","Public
Office","Public
Commercial","Public
Health care","Public
Education",Date,"Public
Public safety","Public
Amusement and recreation","Public
Transportation","Public
Power","Public
Highway and street","Public
Sewage and waste disposal","Public
Water supply","Public
Conservation and development"
Mar-14,"983,647","367,580","616,066","15,413","43,321","58,344","37,575",Mar-14,"76,028","3,644","9,392","15,679","40,524","18,138",Mar-14,"122,809","82,959","20,956","12,698","6,840","51,746",Mar-14,"717,594","362,682","354,912","15,028","35,284","56,692","27,971",Mar-14,"16,385","3,643","7,347","11,434","17,957","110,779","51,239",Mar-14,"266,052","4,898","261,154","8,037","1,652","9,604","59,643",Mar-14,"9,268","8,332","29,090","12,030","82,880","20,636","12,167","6,740"
Feb-14,"976,744","360,207","616,537","15,984","43,465","57,289","39,010",Feb-14,"75,039","3,256","9,213","14,757","40,274","18,510",Feb-14,"124,630","81,737","20,390","11,633","6,594","54,756",Feb-14,"713,127","355,272","357,855","15,640","35,638","55,576","28,571",Feb-14,"15,426","3,249","7,132","11,068","18,307","112,063","54,154",Feb-14,"263,617","4,936","258,681","7,827","1,713","10,440","59,613",Feb-14,"9,094","7,625","29,205","12,567","81,644","20,128","11,182","6,487"
Jan-14,"977,003","365,879","611,124","15,150","43,215","54,677","39,058",Jan-14,"76,370","3,385","9,717","15,265","39,225","18,166",Jan-14,"120,505","81,240","20,767","12,292","6,229","55,865",Jan-14,"711,944","360,876","351,069","14,791","35,628","52,904","28,692",Jan-14,"16,149","3,366","7,127","10,668","18,000","106,899","55,492",Jan-14,"265,058","5,003","260,055","7,587","1,774","10,365","60,221",Jan-14,"9,583","8,138","28,557","13,606","81,169","20,513","11,562","6,065"
Dec-13,"970,204","359,787","610,417","14,180","42,504","57,667","39,224",Dec-13,"76,473","3,467","9,376","15,837","38,900","18,034",Dec-13,"112,704","82,099","22,354","12,421","6,658","58,521",Dec-13,"700,980","354,434","346,546","13,799","34,852","55,704","29,060",Dec-13,"16,551","3,454","7,082","10,479","17,912","98,489","58,010",Dec-13,"269,224","5,353","263,872","7,652","1,962","10,165","59,922",Dec-13,"9,241","8,755","28,421","14,215","82,065","22,080","11,826","6,541"
Nov-13,"956,530","351,824","604,706","14,826","41,786","57,849","40,674",Nov-13,"79,181","3,514","9,849","15,917","38,756","18,650",Nov-13,"108,046","80,282","22,334","13,785","5,920","53,339",Nov-13,"686,318","346,152","340,166","14,404","34,130","55,830","30,009",Nov-13,"16,683","3,504","7,357","10,602","18,540","94,954","52,899",Nov-13,"270,212","5,671","264,541","7,656","2,019","10,665","62,499",Nov-13,"9,648","8,561","28,154","13,092","80,250","22,095","13,121","5,802"
Oct-13,"945,707","345,386","600,322","14,356","40,722","55,522","40,602",Oct-13,"79,696","3,489","9,430","16,222","39,794","17,767",Oct-13,"105,836","80,528","23,610","13,786","6,081","52,880",Oct-13,"673,723","339,907","333,816","13,890","32,609","53,634","29,838",Oct-13,"17,408","3,458","7,531","10,832","17,654","93,651","52,109",Oct-13,"271,985","5,479","266,506","8,113","1,888","10,764","62,288",Oct-13,"9,296","8,692","28,962","12,184","80,353","23,342","13,335","5,907"
Sep-13,"933,133","338,930","594,203","14,064","38,995","54,260","40,535",Sep-13,"78,577","3,271","9,578","16,030","39,838","18,335",Sep-13,"101,243","84,122","23,397","13,512","5,990","52,457",Sep-13,"660,233","333,560","326,673","13,548","31,528","52,260","29,286",Sep-13,"16,905","3,244","7,482","11,185","18,263","90,037","51,678",Sep-13,"272,899","5,370","267,530","7,467","2,000","11,249","61,672",Sep-13,"9,466","8,548","28,654","11,206","83,941","23,124","12,940","5,870"
Aug-13,"924,194","335,029","589,165","13,952","37,505","52,771","40,323",Aug-13,"80,322","3,382","9,181","16,227","39,623","18,126",Aug-13,"95,553","83,774","23,805","13,442","5,895","55,284",Aug-13,"650,659","329,198","321,460","13,341","30,056","50,791","28,909",Aug-13,"17,231","3,359","7,817","11,635","17,998","84,401","54,505",Aug-13,"273,535","5,831","267,704","7,449","1,980","11,414","63,091",Aug-13,"9,057","8,410","27,988","11,152","83,556","23,375","12,900","5,793"
Jul-13,"913,848","327,569","586,279","13,447","37,212","53,439","41,205",Jul-13,"81,248","3,387","8,780","14,721","40,670","18,326",Jul-13,"93,292","82,506","22,309","13,464","6,098","56,175",Jul-13,"640,882","321,697","319,185","12,879","29,357","51,139","29,875",Jul-13,"17,446","3,348","6,947","12,065","18,183","81,246","55,440",Jul-13,"272,966","5,872","267,093","7,855","2,300","11,330","63,802",Jul-13,"8,691","7,775","28,605","12,046","82,237","22,036","12,941","5,992"
Jun-13,"893,943","324,253","569,690","13,296","36,199","51,526","40,655",Jun-13,"79,061","3,538","9,640","14,810","39,638","17,966",Jun-13,"90,795","83,810","20,527","13,198","5,351","49,681",Jun-13,"622,241","318,429","303,812","12,737","27,877","49,533","28,874",Jun-13,"16,894","3,507","6,893","11,557","17,709","77,855","49,129",Jun-13,"271,702","5,824","265,878","8,321","1,993","11,782","62,167",Jun-13,"9,555","7,916","28,081","12,940","83,751","20,193","12,574","5,207"
May-13,"883,125","321,380","561,744","13,060","35,791","51,812","40,802",May-13,"78,456","3,729","10,171","14,425","39,502","17,683",May-13,"84,181","81,091","22,913","13,985","5,869","48,276",May-13,"613,515","315,172","298,342","12,727","28,061","49,502","29,727",May-13,"17,643","3,687","6,772","11,091","17,475","72,662","47,584",May-13,"269,610","6,208","263,402","7,730","2,310","11,075","60,813",May-13,"10,067","7,653","28,411","11,519","81,007","22,518","13,363","5,662"
Apr-13,"874,478","317,226","557,252","12,806","35,397","50,688","40,916",Apr-13,"76,937","3,621","9,776","14,592","40,795","17,473",Apr-13,"80,782","80,225","22,649","13,799","6,183","50,615",Apr-13,"604,438","310,995","293,443","12,437","27,617","48,124","29,829",Apr-13,"16,434","3,597","6,598","10,985","17,281","69,268","49,886",Apr-13,"270,040","6,231","263,809","7,781","2,564","11,087","60,503",Apr-13,"9,646","7,993","29,811","11,514","80,164","22,202","13,163","6,069"
Mar-13,"858,433","313,008","545,425","12,769","35,957","51,116","40,205",Mar-13,"77,460","3,956","9,328","14,782","38,839","17,626",Mar-13,"76,491","75,211","21,183","13,762","5,646","51,096",Mar-13,"596,054","306,378","289,677","12,409","28,374","48,506","29,492",Mar-13,"16,437","3,937","6,427","10,642","17,339","64,719","50,345",Mar-13,"262,379","6,631","255,748","7,583","2,609","10,713","61,022",Mar-13,"9,226","8,355","28,197","11,771","75,157","20,907","13,183","5,607"
Feb-13,"865,269","308,516","556,753","12,760","36,073","52,417","41,276",Feb-13,"80,513","3,974","9,835","14,254","38,856","16,532",Feb-13,"76,944","79,527","21,981","14,403","5,943","51,467",Feb-13,"593,615","302,954","290,660","12,337","27,757","49,935","30,586",Feb-13,"16,681","3,950","6,012","10,121","16,357","64,678","50,671",Feb-13,"271,654","5,562","266,092","8,315","2,482","10,690","63,832",Feb-13,"9,664","8,242","28,735","12,266","79,463","21,364","13,714","5,907"
Jan-13,"855,368","304,988","550,380","12,227","37,226","49,681","41,798",Jan-13,"80,136","3,906","9,206","14,837","38,737","16,503",Jan-13,"78,507","76,337","21,048","14,451","5,910","49,871",Jan-13,"589,651","298,897","290,754","11,763","28,842","47,037","30,945",Jan-13,"16,682","3,888","5,960","10,660","16,336","68,079","49,187",Jan-13,"265,717","6,091","259,626","8,384","2,644","10,854","63,454",Jan-13,"9,088","8,877","28,077","10,428","76,274","20,562","13,786","5,866"
Dec-12,"866,670","299,966","566,705","11,880","37,090","47,093","42,226",Dec-12,"82,330","3,784","9,842","14,887","39,698","15,725",Dec-12,"96,273","75,081","21,214","13,659","5,981","49,943",Dec-12,"598,542","293,962","304,580","11,480","27,991","44,421","30,568",Dec-12,"17,152","3,746","6,187","10,861","15,592","86,048","49,105",Dec-12,"268,128","6,004","262,124","9,099","2,672","11,658","65,177",Dec-12,"9,737","8,700","28,836","10,225","74,972","20,450","13,284","5,905"
Nov-12,"867,420","298,191","569,229","10,841","37,587","47,798","40,766",Nov-12,"81,754","3,535","9,706","15,230","39,535","15,937",Nov-12,"97,671","77,605","23,081","13,033","6,102","49,048",Nov-12,"593,307","291,877","301,430","10,416","28,397","44,887","29,640",Nov-12,"16,339","3,526","6,323","11,194","15,751","85,429","48,213",Nov-12,"274,113","6,313","267,800","9,191","2,911","11,125","65,415",Nov-12,"9,623","8,907","28,341","12,243","77,467","22,422","12,696","6,005"
Oct-12,"870,706","295,540","575,166","11,416","38,498","48,940","41,464",Oct-12,"82,775","3,819","9,931","15,739","40,906","16,021",Oct-12,"98,209","77,131","21,708","12,741","6,512","49,355",Oct-12,"595,873","289,537","306,335","10,877","29,073","46,125","30,090",Oct-12,"16,793","3,789","6,551","11,790","15,920","85,540","48,505",Oct-12,"274,834","6,003","268,831","9,425","2,815","11,374","65,983",Oct-12,"9,857","9,188","29,116","12,669","77,010","21,009","12,454","6,413"
Sep-12,"861,991","287,479","574,512","10,818","38,131","48,302","41,262",Sep-12,"84,114","3,754","10,200","15,662","39,241","16,050",Sep-12,"99,550","77,510","21,443","12,977","6,550","48,949",Sep-12,"587,030","281,524","305,507","10,242","28,753","45,457","30,258",Sep-12,"16,981","3,731","6,208","11,598","15,857","87,266","47,936",Sep-12,"274,961","5,956","269,006","9,378","2,845","11,004","67,134",Sep-12,"10,110","9,454","27,643","12,283","77,355","20,837","12,650","6,508"
Aug-12,"858,695","281,436","577,259","10,971","38,454","47,877","43,201",Aug-12,"85,282","3,747","10,533","15,130","38,660","15,930",Aug-12,"97,221","81,259","21,592","13,039","6,481","47,882",Aug-12,"577,996","275,185","302,812","10,221","28,077","44,888","32,368",Aug-12,"16,937","3,703","6,398","11,293","15,651","85,186","46,790",Aug-12,"280,699","6,251","274,448","10,377","2,989","10,832","68,344",Aug-12,"10,454","8,733","27,368","12,036","81,024","21,045","12,671","6,409"
Jul-12,"854,887","275,659","579,228","11,077","37,478","47,851","43,192",Jul-12,"87,190","3,864","10,853","15,630","38,595","16,346",Jul-12,"96,772","82,585","20,794","12,652","6,069","48,281",Jul-12,"574,074","269,539","304,534","10,315","27,306","44,897","32,276",Jul-12,"17,384","3,836","6,303","11,126","16,086","86,276","47,315",Jul-12,"280,813","6,120","274,693","10,172","2,954","10,916","69,806",Jul-12,"10,749","9,327","27,468","10,496","82,360","20,215","12,211","6,003"
Jun-12,"854,241","271,930","582,310","10,799","36,955","47,699","43,405",Jun-12,"85,409","3,898","10,471","15,245","39,116","16,074",Jun-12,"98,858","86,012","21,682","12,857","6,216","47,615",Jun-12,"568,486","265,895","302,591","10,004","26,430","44,588","32,613",Jun-12,"16,652","3,869","5,775","10,882","15,895","88,218","46,496",Jun-12,"285,755","6,035","279,719","10,524","3,111","10,792","68,758",Jun-12,"10,344","9,470","28,234","10,641","85,853","21,141","12,588","6,143"
May-12,"847,450","266,356","581,095","10,687","37,142","47,006","43,414",May-12,"82,878","3,734","10,623","15,588","36,692","16,096",May-12,"103,773","83,927","22,546","13,425","6,395","47,170",May-12,"565,902","260,320","305,582","10,020","26,535","43,998","32,196",May-12,"16,435","3,703","6,051","10,637","15,883","92,725","46,011",May-12,"281,548","6,036","275,512","10,607","3,008","11,218","66,443",May-12,"10,508","9,536","26,054","11,048","83,779","22,001","12,921","6,320"
Apr-12,"838,426","261,718","576,708","10,854","37,664","47,131","43,579",Apr-12,"83,649","3,842","10,522","15,253","35,061","16,150",Apr-12,"101,091","82,523","22,695","13,616","6,086","46,995",Apr-12,"559,654","255,252","304,401","10,171","26,300","43,877","32,549",Apr-12,"16,304","3,819","6,177","10,602","15,922","91,194","46,145",Apr-12,"278,772","6,466","272,307","11,364","3,254","11,030","67,345",Apr-12,"10,432","9,075","24,459","9,898","82,373","22,151","13,124","6,019"
Mar-12,"826,079","255,452","570,626","10,756","38,591","46,255","42,679",Mar-12,"86,065","3,994","10,765","15,622","34,314","16,113",Mar-12,"96,997","79,130","23,485","13,321","6,322","46,219",Mar-12,"546,127","249,074","297,053","9,920","27,057","42,834","31,400",Mar-12,"16,325","3,966","6,153","9,968","15,785","87,333","45,132",Mar-12,"279,952","6,379","273,573","11,534","3,421","11,278","69,740",Mar-12,"10,646","9,469","24,346","9,664","79,021","22,982","12,951","6,242"
Feb-12,"821,286","251,039","570,247","9,597","38,428","44,739","42,417",Feb-12,"85,975","4,108","11,004","15,702","34,563","16,736",Feb-12,"97,981","80,610","23,984","13,651","5,799","44,955",Feb-12,"538,533","244,421","294,111","8,933","27,389","41,759","31,517",Feb-12,"16,092","4,081","6,057","9,142","16,520","87,409","43,965",Feb-12,"282,754","6,618","276,136","11,039","2,980","10,900","69,883",Feb-12,"10,897","9,646","25,421","10,571","80,527","23,366","13,305","5,705"
Jan-12,"827,631","256,244","571,387","10,019","37,493","45,210","42,281",Jan-12,"87,490","4,025","10,712","16,185","35,052","17,012",Jan-12,"97,364","79,503","23,941","14,582","6,049","44,470",Jan-12,"542,841","248,890","293,950","9,452","25,635","41,784","31,202",Jan-12,"16,068","4,001","6,399","10,279","16,776","87,335","43,668",Jan-12,"284,790","7,354","277,437","11,857","3,426","11,079","71,422",Jan-12,"10,559","9,786","24,773","10,029","79,329","23,386","14,196","5,967"
Dec-11,"818,678","252,401","566,277","9,982","38,383","44,527","41,467",Dec-11,"87,633","4,078","10,916","15,785","35,818","15,242",Dec-11,"88,294","83,653","23,713","13,121","6,142","47,524",Dec-11,"529,305","245,295","284,011","9,208","26,576","40,815","30,297",Dec-11,"15,386","4,034","6,655","10,778","14,991","77,332","46,481",Dec-11,"289,373","7,107","282,266","11,807","3,712","11,170","72,247",Dec-11,"10,726","9,130","25,041","10,962","83,606","23,167","12,535","6,054"
Nov-11,"809,308","251,660","557,649","9,632","38,058","43,712","40,288",Nov-11,"86,195","3,896","10,565","16,017","33,402","17,742",Nov-11,"83,837","85,067","22,762","14,202","6,493","45,782",Nov-11,"522,313","244,537","277,776","8,856","25,790","40,295","29,705",Nov-11,"15,344","3,877","6,868","9,968","17,530","73,055","44,834",Nov-11,"286,995","7,123","279,873","12,268","3,417","10,583","70,851",Nov-11,"10,359","9,149","23,434","10,782","85,049","22,127","13,519","6,381"
Oct-11,"805,478","257,406","548,072","9,177","35,668","42,763","39,170",Oct-11,"87,033","3,976","10,147","15,398","33,280","18,520",Oct-11,"80,727","82,777","22,076","14,786","7,221","45,354",Oct-11,"520,903","249,921","270,982","8,371","23,829","39,185","29,181",Oct-11,"14,611","3,935","6,804","9,575","18,271","71,097","44,638",Oct-11,"284,575","7,485","277,090","11,839","3,578","9,989","72,422",Oct-11,"9,949","8,594","23,705","9,630","82,767","21,587","14,121","7,096"
Sep-11,"810,890","255,523","555,368","9,298","37,208","43,565","40,879",Sep-11,"88,500","4,235","10,486","15,570","34,180","18,236",Sep-11,"81,291","82,186","22,094","14,268","7,073","46,301",Sep-11,"521,354","247,382","273,972","8,347","24,199","39,831","29,848",Sep-11,"14,618","4,199","7,124","9,799","17,930","71,496","45,106",Sep-11,"289,537","8,141","281,396","13,008","3,734","11,030","73,882",Sep-11,"10,288","8,445","24,381","9,795","82,178","21,641","13,576","6,949"
Aug-11,"808,818","256,825","551,993","9,027","36,552","46,240","40,872",Aug-11,"86,842","4,459","11,099","15,459","35,746","18,082",Aug-11,"81,031","77,984","22,013","14,762","8,057","43,769",Aug-11,"521,126","248,742","272,384","8,133","24,494","42,040","29,421",Aug-11,"14,531","4,402","6,763","9,755","17,936","70,423","42,902",Aug-11,"287,691","8,083","279,609","12,059","4,200","11,451","72,311",Aug-11,"10,851","8,695","25,991","10,608","77,952","21,519","14,140","7,871"
Jul-11,"789,330","254,686","534,644","8,735","35,128","45,075","41,283",Jul-11,"83,716","4,271","10,470","16,074","33,664","17,844",Jul-11,"76,023","76,201","22,869","14,432","7,328","41,532",Jul-11,"509,466","246,719","262,747","7,943","23,612","41,299","29,358",Jul-11,"14,662","4,247","6,890","9,362","17,662","65,395","40,811",Jul-11,"279,864","7,967","271,897","11,516","3,776","11,925","69,054",Jul-11,"10,196","9,183","24,303","10,629","76,166","22,413","13,771","7,246"
Jun-11,"791,857","253,305","538,552","9,325","36,132","45,002","41,071",Jun-11,"83,903","4,031","10,716","16,280","35,043","18,261",Jun-11,"75,413","75,948","23,358","13,647","7,989","42,435",Jun-11,"507,488","244,538","262,949","8,457","24,036","41,145","29,199",Jun-11,"14,919","4,002","7,050","9,180","18,134","63,662","41,628",Jun-11,"284,369","8,766","275,603","12,096","3,856","11,873","68,984",Jun-11,"10,465","9,230","25,863","11,751","75,914","22,849","12,978","7,913"
May-11,"772,355","251,734","520,622","8,773","35,788","43,321","39,142",May-11,"83,759","4,100","10,280","16,681","34,598","17,786",May-11,"69,633","75,973","22,177","13,215","7,906","37,489",May-11,"489,491","242,554","246,937","8,077","23,500","39,527","27,259",May-11,"13,337","4,065","7,278","8,928","17,679","59,110","36,799",May-11,"282,865","9,180","273,685","12,288","3,794","11,884","70,422",May-11,"10,071","9,402","25,671","10,523","75,936","21,684","12,604","7,879"
Apr-11,"766,778","251,238","515,541","8,573","34,915","41,625","40,011",Apr-11,"83,786","4,300","10,210","16,214","35,343","17,918",Apr-11,"68,875","74,931","22,128","13,979","8,037","34,697",Apr-11,"481,861","241,939","239,923","7,996","22,465","37,987","27,891",Apr-11,"13,188","4,257","6,951","8,844","17,861","56,911","34,064",Apr-11,"284,917","9,299","275,618","12,451","3,638","12,120","70,598",Apr-11,"9,986","9,263","26,499","11,964","74,889","21,463","13,412","8,026"
Mar-11,"766,241","248,263","517,977","8,904","34,569","39,540","39,796",Mar-11,"84,311","4,382","9,997","16,309","35,682","18,312",Mar-11,"66,064","79,074","23,699","13,906","8,150","35,282",Mar-11,"475,848","238,670","237,178","8,247","22,106","36,099","28,442",Mar-11,"13,379","4,347","6,008","9,115","18,203","54,868","34,676",Mar-11,"290,393","9,594","280,800","12,463","3,441","11,354","70,932",Mar-11,"9,793","10,302","26,567","11,196","78,995","22,968","13,284","8,096"
Feb-11,"755,410","246,794","508,616","9,023","34,390","38,631","38,946",Feb-11,"81,133","4,394","10,057","16,681","35,382","17,654",Feb-11,"63,750","79,963","22,563","14,649","8,136","33,266",Feb-11,"466,717","237,097","229,621","8,485","21,724","35,380","28,050",Feb-11,"12,508","4,367","6,199","9,339","17,628","52,089","32,647",Feb-11,"288,693","9,697","278,996","12,666","3,250","10,896","68,625",Feb-11,"9,914","10,482","26,043","11,661","79,899","22,191","14,062","8,098"
Jan-11,"756,808","247,808","508,999","9,240","34,729","37,793","39,400",Jan-11,"82,660","4,928","9,755","16,117","36,184","17,184",Jan-11,"62,797","81,367","23,199","15,116","7,899","30,632",Jan-11,"463,101","237,392","225,709","8,755","21,912","34,364","28,063",Jan-11,"12,416","4,905","6,274","9,481","17,164","51,139","29,987",Jan-11,"293,706","10,416","283,290","12,817","3,429","11,338","70,245",Jan-11,"9,654","9,843","26,703","11,659","81,293","22,785","14,488","7,864"
Dec-10,"786,301","245,836","540,465","10,083","34,893","37,406","39,339",Dec-10,"82,610","5,076","9,553","16,366","37,402","17,566",Dec-10,"90,392","82,069","24,237","14,925","6,911","31,638",Dec-10,"493,333","235,936","257,397","9,288","22,595","34,277","29,482",Dec-10,"13,016","5,038","6,247","10,098","17,533","77,363","31,102",Dec-10,"292,968","9,899","283,069","12,298","3,129","9,856","69,595",Dec-10,"9,468","10,120","27,305","13,030","81,968","23,813","14,186","6,901"
Nov-10,"800,934","245,590","555,344","9,882","35,488","38,329","40,292",Nov-10,"83,549","5,421","10,209","16,850","36,377","18,085",Nov-10,"91,863","85,148","24,874","15,626","8,154","35,195",Nov-10,"499,405","234,250","265,154","9,326","22,332","35,243","29,843",Nov-10,"13,125","5,377","6,311","10,222","18,067","79,263","34,646",Nov-10,"301,529","11,340","290,189","13,156","3,085","10,449","70,424",Nov-10,"10,108","10,539","26,155","12,601","85,065","24,450","14,854","8,136"
Oct-10,"798,248","244,857","553,391","10,152","36,053","38,960","39,629",Oct-10,"83,548","5,054","10,461","16,711","37,582","17,702",Oct-10,"84,284","87,053","26,403","15,452","7,457","36,890",Oct-10,"491,121","233,388","257,733","9,598","23,044","35,613","29,559",Oct-10,"12,394","5,021","6,076","10,485","17,643","70,644","36,219",Oct-10,"307,128","11,469","295,659","13,008","3,347","10,071","71,154",Oct-10,"10,348","10,635","27,098","13,640","86,962","25,995","14,643","7,442"
Sep-10,"804,113","245,400","558,713","10,626","38,678","39,025","40,364",Sep-10,"89,509","5,155","10,670","17,794","41,101","17,453",Sep-10,"75,244","84,542","26,790","15,983","7,562","38,217",Sep-10,"487,639","234,220","253,420","10,101","24,289","35,846","29,953",Sep-10,"13,113","5,102","6,521","9,717","17,417","62,312","37,552",Sep-10,"316,474","11,181","305,293","14,389","3,179","10,411","76,396",Sep-10,"10,558","11,273","31,384","12,932","84,459","26,314","15,174","7,547"
Aug-10,"798,050","245,388","552,663","11,078","36,039","40,084","39,425",Aug-10,"88,413","4,984","10,738","17,250","37,600","18,395",Aug-10,"74,076","84,485","27,313","16,338","6,835","39,610",Aug-10,"489,902","234,716","255,187","10,571","23,136","36,882","29,460",Aug-10,"13,290","4,946","6,236","10,068","18,361","61,599","38,943",Aug-10,"308,148","10,672","297,476","12,903","3,202","9,965","75,123",Aug-10,"10,536","11,014","27,532","12,477","84,331","26,810","15,577","6,760"
Jul-10,"795,485","250,755","544,730","11,239","35,884","38,519","38,735",Jul-10,"89,760","5,107","10,842","16,706","38,788","17,743",Jul-10,"72,964","77,325","26,754","15,875","7,271","41,220",Jul-10,"493,029","240,146","252,883","10,732","22,431","35,789","29,014",Jul-10,"13,020","5,063","6,032","10,152","17,706","60,840","40,652",Jul-10,"302,457","10,610","291,847","13,453","2,730","9,721","76,740",Jul-10,"10,629","10,674","28,636","12,124","77,216","26,344","15,219","7,205"
Jun-10,"817,734","256,993","560,741","11,384","37,772","40,972","38,733",Jun-10,"89,350","5,391","11,358","16,709","38,969","17,272",Jun-10,"77,338","82,259","26,287","16,047","8,183","42,717",Jun-10,"510,678","246,309","264,369","10,887","24,263","38,298","29,079",Jun-10,"13,447","5,339","6,532","10,062","17,243","65,693","42,111",Jun-10,"307,056","10,684","296,372","13,509","2,673","9,654","75,903",Jun-10,"11,134","10,177","28,907","11,645","82,149","25,859","15,460","8,118"
May-10,"818,884","258,458","560,427","11,384","37,892","39,927","39,486",May-10,"89,130","5,540","11,746","16,682","39,839","18,032",May-10,"73,927","84,312","25,868","15,931","7,045","43,685",May-10,"512,819","248,333","264,485","11,095","24,354","37,203","29,941",May-10,"13,661","5,487","6,694","9,621","17,968","63,839","43,094",May-10,"306,066","10,124","295,941","13,539","2,724","9,545","75,468",May-10,"11,468","9,988","30,218","10,088","84,171","25,398","15,301","7,035"
Apr-10,"826,445","261,374","565,071","12,112","39,624","40,424","38,857",Apr-10,"89,232","5,473","12,193","17,727","39,830","17,752",Apr-10,"73,696","82,460","26,689","14,996","7,600","46,406",Apr-10,"518,540","251,355","267,185","11,811","25,467","37,984","29,397",Apr-10,"13,810","5,402","7,229","9,401","17,698","61,744","45,738",Apr-10,"307,905","10,019","297,886","14,157","2,440","9,460","75,422",Apr-10,"11,822","10,498","30,429","11,952","82,327","26,265","14,429","7,589"
Mar-10,"818,386","259,757","558,630","12,516","39,727","41,665","38,687",Mar-10,"90,607","5,396","12,164","17,117","39,344","16,563",Mar-10,"68,283","80,544","25,257","14,839","6,427","49,495",Mar-10,"518,075","250,461","267,614","12,260","26,066","38,878","29,016",Mar-10,"14,425","5,327","7,379","9,543","16,491","57,023","49,045",Mar-10,"300,311","9,295","291,016","13,660","2,787","9,671","76,182",Mar-10,"11,729","9,738","29,801","11,260","80,394","24,756","13,773","6,419"
Feb-10,"810,841","259,605","551,236","14,339","41,677","42,364","38,296",Feb-10,"91,693","5,656","12,187","16,347","37,406","18,317",Feb-10,"65,600","78,587","23,529","13,623","5,931","45,685",Feb-10,"518,646","251,076","267,569","14,113","28,137","39,263","29,020",Feb-10,"14,072","5,593","6,484","9,492","18,277","56,378","45,228",Feb-10,"292,195","8,529","283,667","13,540","3,101","9,276","77,621",Feb-10,"11,746","9,863","27,914","9,222","78,487","23,107","13,082","5,922"
Jan-10,"818,320","259,887","558,433","15,582","40,898","43,401","40,013",Jan-10,"93,389","5,353","12,215","16,643","35,875","17,422",Jan-10,"67,102","78,277","27,367","13,153","6,205","45,540",Jan-10,"520,024","251,033","268,992","15,375","26,888","40,418","30,771",Jan-10,"14,029","5,299","6,173","9,225","17,397","56,850","45,115",Jan-10,"298,296","8,854","289,442","14,010","2,983","9,242","79,360",Jan-10,"11,860","10,470","26,650","10,252","78,173","26,991","12,553","6,188"
Dec-09,"838,527","260,510","578,017","17,333","43,719","45,397","40,687",Dec-09,"91,868","5,340","12,936","16,915","35,649","19,937",Dec-09,"79,492","78,511","25,141","15,574","6,462","43,060",Dec-09,"538,197","251,718","286,479","17,126","28,431","41,904","30,826",Dec-09,"14,236","5,299","6,696","8,511","19,887","69,475","42,551",Dec-09,"300,330","8,792","291,538","15,288","3,493","9,861","77,632",Dec-09,"12,424","10,219","27,137","10,016","78,431","24,759","15,042","6,431"
Nov-09,"854,600","260,080","594,521","18,636","44,243","45,375","40,806",Nov-09,"93,335","5,601","12,865","16,949","36,415","19,597",Nov-09,"81,830","80,417","25,456","15,532","6,114","51,349",Nov-09,"551,965","252,048","299,917","18,401","29,079","41,799","31,548",Nov-09,"14,558","5,569","6,730","8,503","19,555","71,810","50,901",Nov-09,"302,635","8,031","294,604","15,164","3,576","9,257","78,778",Nov-09,"12,381","10,220","27,912","10,020","80,289","25,145","15,038","6,069"
Oct-09,"866,980","258,821","608,159","20,042","45,555","45,461","43,221",Oct-09,"95,749","5,694","12,893","18,799","36,737","19,243",Oct-09,"83,302","83,753","24,087","14,829","6,282","52,513",Oct-09,"559,113","250,530","308,583","19,898","31,038","41,937","33,133",Oct-09,"14,953","5,680","7,512","8,601","19,189","73,370","52,021",Oct-09,"307,866","8,290","299,576","14,517","3,524","10,087","80,796",Oct-09,"12,451","11,287","28,136","9,932","83,639","23,650","14,597","6,256"
