Date,Open,High,Low,Close,Adj Close,Volume
2019-10-14,1507.329956,1508.619995,1499.979980,1505.430054,1505.430054,25570200
2019-10-15,1508.540039,1528.420044,1507.800049,1523.300049,1523.300049,33407400
2019-10-16,1521.479980,1529.599976,1520.410034,1525.060059,1525.060059,32225700
2019-10-17,1530.180054,1542.660034,1530.180054,1541.839966,1541.839966,31159600
2019-10-18,1539.239990,1540.719971,1525.469971,1535.479980,1535.479980,32642900
2019-10-21,1541.729980,1557.020020,1541.729980,1552.410034,1552.410034,32716200
2019-10-22,1550.770020,1557.890015,1547.310059,1550.869995,1550.869995,35238900
2019-10-23,1550.589966,1554.680054,1545.890015,1552.859985,1552.859985,33928700
2019-10-24,1556.599976,1557.329956,1544.890015,1548.489990,1548.489990,36926000
2019-10-25,1548.989990,1562.560059,1547.780029,1558.709961,1558.709961,33703700
2019-10-28,1563.500000,1576.989990,1563.500000,1571.930054,1571.930054,35212300
2019-10-29,1571.760010,1581.130005,1569.459961,1577.069946,1577.069946,35899300
2019-10-30,1575.609985,1575.609985,1562.050049,1572.849976,1572.849976,37760300
2019-10-31,1570.189941,1570.479980,1552.869995,1562.449951,1562.449951,41392800
2019-11-01,1569.199951,1589.329956,1569.199951,1589.329956,1589.329956,39302000
2019-11-04,1597.099976,1602.060059,1593.739990,1597.400024,1597.400024,41468500
2019-11-05,1598.939941,1608.800049,1597.930054,1599.609985,1599.609985,44861300
2019-11-06,1598.420044,1598.420044,1587.020020,1589.540039,1589.540039,44581900
2019-11-07,1598.250000,1607.410034,1590.329956,1593.989990,1593.989990,41446400
2019-11-08,1590.959961,1598.930054,1587.500000,1598.859985,1598.859985,34991500
2019-11-11,1592.750000,1595.439941,1588.310059,1594.770020,1594.770020,30355300
2019-11-12,1595.619995,1604.640015,1593.410034,1595.119995,1595.119995,34660100
2019-11-13,1588.290039,1591.849976,1581.060059,1589.180054,1589.180054,35092800
2019-11-14,1587.349976,1594.709961,1586.680054,1588.790039,1588.790039,32760700
2019-11-15,1594.060059,1598.199951,1591.040039,1596.449951,1596.449951,33356500
2019-11-18,1594.109985,1594.109985,1588.550049,1592.339966,1592.339966,34366900
2019-11-19,1594.959961,1602.959961,1592.040039,1598.290039,1598.290039,35900700
2019-11-20,1593.439941,1602.709961,1581.979980,1591.609985,1591.609985,40348900
2019-11-21,1594.099976,1595.609985,1581.040039,1583.959961,1583.959961,37205600
2019-11-22,1588.890015,1591.310059,1581.810059,1588.939941,1588.939941,32267800
2019-11-25,1594.489990,1623.989990,1594.489990,1621.900024,1621.900024,35115300
2019-11-26,1621.900024,1630.280029,1619.949951,1624.229980,1624.229980,45955900
2019-11-27,1626.800049,1634.770020,1626.800049,1634.099976,1634.099976,30330900
2019-11-29,1630.160034,1633.589966,1623.920044,1624.500000,1624.500000,17430200
2019-12-02,1626.560059,1627.339966,1606.630005,1607.579956,1607.579956,32687400
2019-12-03,1602.760010,1603.079956,1589.729980,1602.630005,1602.630005,36533900
2019-12-04,1607.680054,1618.380005,1607.680054,1613.900024,1613.900024,36950300
2019-12-05,1617.170044,1620.839966,1611.800049,1614.829956,1614.829956,33557500
2019-12-06,1620.920044,1637.900024,1620.920044,1633.839966,1633.839966,34794800
2019-12-09,1631.469971,1636.439941,1629.619995,1629.619995,1629.619995,33459900
2019-12-10,1629.099976,1633.739990,1626.369995,1631.709961,1631.709961,33437900
2019-12-11,1633.430054,1634.430054,1626.739990,1631.930054,1631.930054,32525400
2019-12-12,1631.800049,1654.069946,1629.859985,1644.810059,1644.810059,39906900
2019-12-13,1643.829956,1650.189941,1632.650024,1637.979980,1637.979980,37368700
2019-12-16,1647.199951,1658.619995,1647.199951,1649.939941,1649.939941,40517900
2019-12-17,1650.589966,1657.699951,1649.630005,1657.560059,1657.560059,38375400
2019-12-18,1660.489990,1663.390015,1654.729980,1661.729980,1661.729980,40140800
2019-12-19,1662.520020,1667.229980,1660.619995,1667.089966,1667.089966,37204500
2019-12-20,1670.599976,1674.430054,1668.859985,1671.900024,1671.900024,64542700
2019-12-23,1673.979980,1675.310059,1666.189941,1674.140015,1674.140015,30606100
2019-12-24,1676.229980,1678.089966,1673.739990,1678.010010,1678.010010,12965400
2019-12-26,1680.219971,1680.359985,1675.099976,1677.670044,1677.670044,21606800
2019-12-27,1681.250000,1681.680054,1666.430054,1669.030029,1669.030029,24286700
2019-12-30,1669.880005,1670.219971,1658.050049,1664.150024,1664.150024,30132900
2019-12-31,1660.050049,1673.339966,1659.829956,1668.469971,1668.469971,28938100
2020-01-02,1675.900024,1678.140015,1653.520020,1666.770020,1666.770020,34582500
2020-01-03,1655.020020,1664.040039,1648.540039,1660.869995,1660.869995,34612900
2020-01-06,1650.660034,1664.849976,1645.510010,1663.260010,1663.260010,36740700
2020-01-07,1659.729980,1662.099976,1653.329956,1658.310059,1658.310059,34203800
2020-01-08,1658.469971,1669.290039,1658.229980,1663.589966,1663.589966,37208900
2020-01-09,1669.859985,1671.819946,1663.780029,1664.989990,1664.989990,36383900
2020-01-10,1665.469971,1666.750000,1654.010010,1657.640015,1657.640015,32129700
