Date,Open,High,Low,Close,Adj Close,Volume
2019-10-14,8044.350098,8069.850098,8036.410156,8048.649902,8048.649902,1419730000
2019-10-15,8074.850098,8166.180176,8071.810059,8148.709961,8148.709961,1836650000
2019-10-16,8119.810059,8146.149902,8103.379883,8124.180176,8124.180176,1886720000
2019-10-17,8176.910156,8183.640137,8131.250000,8156.850098,8156.850098,1861570000
2019-10-18,8149.850098,8157.359863,8045.370117,8089.540039,8089.540039,2012930000
2019-10-21,8137.419922,8164.140137,8117.259766,8162.990234,8162.990234,1752860000
2019-10-22,8188.120117,8194.620117,8101.979980,8104.299805,8104.299805,1847200000
2019-10-23,8090.240234,8122.879883,8078.350098,8119.790039,8119.790039,1805030000
2019-10-24,8180.040039,8187.839844,8137.660156,8185.799805,8185.799805,1882490000
2019-10-25,8150.589844,8249.969727,8150.589844,8243.120117,8243.120117,1894740000
2019-10-28,8285.769531,8335.559570,8285.269531,8325.990234,8325.990234,1956280000
2019-10-29,8313.349609,8319.290039,8275.139648,8276.849609,8276.849609,1834530000
2019-10-30,8284.280273,8315.500000,8241.700195,8303.980469,8303.980469,1928420000
2019-10-31,8314.379883,8321.799805,8248.809570,8292.360352,8292.360352,2258270000
2019-11-01,8335.049805,8386.750000,8326.559570,8386.400391,8386.400391,2057310000
2019-11-04,8445.500000,8451.370117,8421.299805,8433.200195,8433.200195,2149910000
2019-11-05,8446.620117,8457.389648,8421.049805,8434.679688,8434.679688,2316710000
2019-11-06,8426.570313,8426.570313,8379.330078,8410.629883,8410.629883,2332650000
2019-11-07,8455.110352,8483.160156,8415.870117,8434.519531,8434.519531,2393950000
2019-11-08,8422.669922,8475.570313,8405.889648,8475.309570,8475.309570,1974190000
2019-11-11,8431.259766,8467.290039,8425.480469,8464.280273,8464.280273,1715470000
2019-11-12,8471.070313,8514.839844,8462.990234,8486.089844,8486.089844,1987820000
2019-11-13,8455.019531,8496.900391,8451.339844,8482.099609,8482.099609,2173320000
2019-11-14,8461.059570,8485.360352,8441.580078,8479.019531,8479.019531,2106550000
2019-11-15,8524.480469,8540.830078,8506.799805,8540.830078,8540.830078,2188210000
2019-11-18,8529.160156,8559.780273,8503.620117,8549.940430,8549.940430,2047240000
2019-11-19,8578.019531,8589.759766,8536.730469,8570.660156,8570.660156,2075000000
2019-11-20,8543.570313,8578.269531,8468.629883,8526.730469,8526.730469,2596030000
2019-11-21,8527.870117,8530.730469,8487.290039,8506.209961,8506.209961,2056230000
2019-11-22,8530.540039,8535.459961,8477.490234,8519.879883,8519.879883,1877090000
2019-11-25,8559.650391,8633.150391,8559.650391,8632.490234,8632.490234,2256070000
2019-11-26,8635.400391,8659.730469,8625.620117,8647.929688,8647.929688,2434570000
2019-11-27,8669.589844,8705.910156,8662.580078,8705.179688,8705.179688,1744580000
2019-11-29,8682.009766,8697.320313,8664.040039,8665.469727,8665.469727,1099090000
2019-12-02,8672.839844,8672.839844,8540.160156,8567.990234,8567.990234,2225940000
2019-12-03,8460.719727,8523.980469,8435.400391,8520.639648,8520.639648,2308600000
2019-12-04,8557.450195,8584.879883,8552.379883,8566.669922,8566.669922,2150680000
2019-12-05,8587.929688,8588.889648,8541.919922,8570.700195,8570.700195,2123380000
2019-12-06,8634.250000,8665.440430,8630.580078,8656.530273,8656.530273,2053530000
