name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,latitude,longitude
Alabama,4.066666666666667,3.9749999999999996,5.716666666666666,10.991666666666667,10.541666666666666,9.616666666666667,7.983333333333332,7.216666666666668,6.758333333333334,6.083333333333333,5.841666666666666,4.416666666666667,3.8750000000000004,32.318231,-86.902298
Alaska,6.625000000000001,6.3500000000000005,6.708333333333335,7.733333333333333,7.874999999999999,7.566666666666667,7.133333333333333,7.0,6.866666666666666,6.533333333333332,6.858333333333334,6.883333333333333,6.45,63.588753000000004,-154.493062
Arizona,4.2250000000000005,3.8249999999999997,6.141666666666666,9.925,10.35,9.5,8.333333333333334,7.741666666666666,6.8,6.058333333333334,5.375,4.858333333333334,4.741666666666666,34.048928000000004,-111.093731
Arkansas,5.175,5.3,5.5,7.824999999999999,8.191666666666666,8.291666666666666,7.575,7.216666666666666,6.016666666666666,5.008333333333333,3.9666666666666663,3.683333333333334,3.6416666666666675,35.20105,-91.83183299999999
California,4.916666666666666,5.375,7.291666666666667,11.141666666666667,12.225000000000001,11.70833333333333,10.375000000000002,8.941666666666666,7.5,6.208333333333333,5.491666666666666,4.791666666666667,4.258333333333334,36.778261,-119.41793200000001
Colorado,4.308333333333333,3.725,4.8500000000000005,7.300000000000001,8.725000000000001,8.358333333333334,7.891666666666667,6.849999999999999,4.991666666666666,3.8833333333333333,3.2999999999999994,2.791666666666666,3.158333333333333,39.550051,-105.782067
Connecticut,4.333333333333333,4.4750000000000005,5.666666666666667,7.925000000000001,9.133333333333335,8.825,8.350000000000001,7.808333333333333,6.625,5.725000000000001,5.166666666666667,4.7,4.158333333333332,41.603221000000005,-73.087749
Delaware,3.591666666666667,3.441666666666667,4.966666666666666,8.258333333333333,8.416666666666666,7.5,7.208333333333333,6.691666666666666,5.716666666666666,4.858333333333333,4.525,4.466666666666666,3.783333333333333,38.910832,-75.52767
Florida,3.241666666666666,4.008333333333334,6.3,10.391666666666667,11.033333333333333,9.991666666666667,8.483333333333333,7.233333333333333,6.275000000000001,5.449999999999999,4.816666666666666,4.2250000000000005,3.5916666666666663,27.664827000000002,-81.515754
Georgia,4.7250000000000005,4.541666666666667,6.266666666666667,9.933333333333334,10.491666666666665,10.233333333333333,9.191666666666666,8.2,7.099999999999999,5.983333333333332,5.383333333333333,4.691666666666666,3.949999999999999,32.157435,-82.907123
Hawaii,2.6416666666666666,2.775,4.325,7.125,6.95,6.8,6.008333333333333,4.883333333333332,4.358333333333333,3.566666666666667,2.9499999999999993,2.433333333333333,2.516666666666667,19.898682,-155.66585700000002
Idaho,3.475,3.0416666666666665,5.141666666666667,8.733333333333334,8.966666666666667,8.316666666666666,7.2,6.116666666666667,4.833333333333334,4.1000000000000005,3.7833333333333337,3.2083333333333335,2.908333333333333,44.068202,-114.74204099999999
Illinois,4.5666666666666655,4.958333333333333,6.308333333333334,10.2,10.366666666666667,9.691666666666668,8.991666666666667,9.041666666666666,7.099999999999999,5.958333333333333,5.816666666666667,4.925,4.333333333333333,40.633125,-89.398528
Indiana,5.083333333333333,4.5583333333333345,5.916666666666667,10.291666666666666,10.341666666666667,9.108333333333334,8.35,7.633333333333333,5.958333333333332,4.833333333333333,4.433333333333333,3.558333333333333,3.475,40.551217,-85.602364
Iowa,3.7000000000000006,3.7000000000000006,4.233333333333333,6.391666666666668,6.008333333333333,5.5249999999999995,5.033333333333333,4.733333333333333,4.241666666666667,3.758333333333334,3.625,3.1166666666666667,2.6166666666666667,41.878003,-93.097702
Kansas,4.391666666666666,4.241666666666665,4.625000000000001,6.866666666666667,7.058333333333334,6.491666666666666,5.733333333333334,5.308333333333333,4.533333333333332,4.183333333333334,4.025,3.65,3.291666666666666,39.011902,-98.484246
Kentucky,5.733333333333334,5.375,6.466666666666668,10.33333333333333,10.166666666666668,9.375,8.166666666666666,8.016666666666667,6.458333333333332,5.275,5.125000000000001,4.891666666666667,4.333333333333332,37.839333,-84.27001800000001
Louisiana,4.424999999999999,4.241666666666667,4.925,6.825,7.949999999999999,7.833333333333332,7.091666666666668,6.675,6.366666666666667,6.324999999999999,6.066666666666667,5.116666666666666,4.874999999999999,31.244822999999997,-92.14502399999999
Maine,4.566666666666667,4.683333333333333,5.516666666666667,8.083333333333334,8.124999999999998,7.891666666666667,7.466666666666668,6.650000000000001,5.608333333333333,4.383333333333334,3.7666666666666675,3.3750000000000004,3.2416666666666667,45.253783,-69.44546899999999
Maryland,3.8666666666666667,3.4499999999999993,4.25,7.016666666666667,7.6499999999999995,7.249999999999999,6.966666666666668,6.566666666666666,5.816666666666666,5.066666666666667,4.4416666666666655,4.233333333333334,3.958333333333332,39.045755,-76.641271
Massachusetts,4.891666666666666,4.6000000000000005,5.550000000000001,8.1,8.291666666666666,7.241666666666667,6.658333333333334,6.716666666666668,5.75,4.791666666666667,3.8833333333333333,3.741666666666667,3.358333333333334,42.407211,-71.382437
Michigan,7.008333333333334,7.000000000000001,8.041666666666666,13.608333333333334,12.575000000000001,10.391666666666667,9.124999999999998,8.783333333333333,7.233333333333334,5.408333333333334,4.991666666666667,4.608333333333334,4.1499999999999995,44.314844,-85.602364
