,Date,Total Construction,Total Residential,Total Nonresidential,Total Lodging,Total Office,Total Commercial,Total Health Care,Total Educational,Total Religious,Total Public safety,Total Amusement and recreation,Total Transportation,Total Communication,Total Power,Total Highway and street,Total Sewage and waste disposal,Total Water supply,Total Conservation and development,Total Manufacturing,Total Private Construction,Private Residential,Private Nonresidential,Private Lodging,Private Office,Private Commercial,Private Health care,Private Educational,Private Religious,Private Amusement and recreation,Private Transportation,Private Communication,Private Power,Private Manufacturing,Total Public Construction,Public Residential,Public Nonresidential,Public Office,Public Commercial,Public Health care,Public Education,Public Public safety,Public Amusement and recreation,Public Transportation,Public Power,Public Highway and street,Public Sewage and waste disposal,Public Water supply,Public Conservation and development,Year,month,"Unemployment Rate, 16yo and over","Unemployment Rate, Men, 16yo and over","Unemployment Rate, Women, 16yo and over","Unemployment Rate, White, 16yo and over","Unemployment Rate, White, Men, 16yo and over","Unemployment Rate, White, Women, 16yo and over","Unemployment Rate, African American, 16yo and over","Unemployment Rate, African American, Men, 16yo and over","Unemployment Rate, African American, Women, 16yo and over","Unemployment Rate, Asian, 16yo and over","Unemployment Rate, Hispanic or Latino, 16yo and over","Unemployment Rate, 16-19yo","Unemployment Rate, Men, 16-19yo","Unemployment Rate, Women, 16-19yo","Unemployment Rate, White, 16-19yo","Unemployment Rate, White, Men, 16-19yo","Unemployment Rate, White, Women, 16-19yo","Unemployment Rate, African American, 16-19yo","Unemployment Rate, African American, Men, 16-19yo","Unemployment Rate, African American, Women, 16-19yo","Unemployment Rate, Hispanic or Latino, 16-19yo","Unemployment Rate, Hispanic or Latino, Men, 16-19yo","Unemployment Rate, Hispanic or Latino, Women, 16-19yo","Unemployment Rate, 20yo and over","Unemployment Rate, Men, 20yo and over","Unemployment Rate, Women, 20yo and over","Unemployment Rate, White, 20yo and over","Unemployment Rate, White, Men, 20yo and over","Unemployment Rate, White, Women, 20yo and over","Unemployment Rate, African American, 20yo and over","Unemployment Rate, African American, Men, 20yo and over","Unemployment Rate, African American, Women, 20yo and over","Unemployment Rate, Hispanic or Latino","Unemployment Rate, Hispanic or Latino, Men, 20yo and over","Unemployment Rate, Hispanic or Latino, Women, 20yo and over","Unemployment Rate, 20-24yo","Unemployment Rate, Men, 20-24yo","Unemployment Rate, Women, 20-24yo","Unemployment Rate, 25-34yo","Unemployment Rate, Men, 25-34yo","Unemployment Rate, Women, 25-34yo","Unemployment Rate, 35-44yo","Unemployment Rate, Men, 35-44yo","Unemployment Rate, Women, 35-44yo","Unemployment Rate, 45-54yo","Unemployment Rate, Men, 45-54yo","Unemployment Rate, Women, 45-54yo","Unemployment Rate, 55yo and over","Unemployment Rate, Men, 55yo and over","Unemployment Rate, Women, 55yo and over","Unemployment Rate, 25yo and over","Unemployment Rate, Men, 25yo and over","Unemployment Rate, Women, 25yo and over","Unemployment Rate, Less than High School diploma, 25yo and over","Unemployment Rate, High school-no college, 25yo and over","Unemployment Rate, Some college, 25yo and over","Unemployment Rate, Bachelor's degree or higher, 25yo and over"
55,2010-08,798050.0,245388.0,552663.0,11078.0,36039.0,40084.0,39425.0,88413.0,4984.0,10738.0,17250.0,37600.0,18395.0,74076.0,84485.0,27313.0,16338.0,6835.0,39610.0,489902.0,234716.0,255187.0,10571.0,23136.0,36882.0,29460.0,13290.0,4946.0,6236.0,10068.0,18361.0,61599.0,38943.0,308148.0,10672.0,297476.0,12903.0,3202.0,9965.0,75123.0,10536.0,11014.0,27532.0,12477.0,84331.0,26810.0,15577.0,6760.0,2010,August,9.5,10.3,8.6,8.6,9.4,7.7,15.9,18.1,14.0,7.3,12.0,25.5,28.5,22.5,22.9,25.8,20.1,45.0,50.0,39.5,32.2,33.3,31.0,8.9,9.6,8.0,8.0,8.8,7.1,14.8,16.7,13.1,11.0,10.9,11.3,14.7,16.7,12.5,9.7,10.3,9.1,7.7,8.0,7.3,8.0,8.8,7.2,7.4,8.5,6.3,8.2,8.9,7.4,14.1,10.0,8.7,4.6
56,2010-09,804113.0,245400.0,558713.0,10626.0,38678.0,39025.0,40364.0,89509.0,5155.0,10670.0,17794.0,41101.0,17453.0,75244.0,84542.0,26790.0,15983.0,7562.0,38217.0,487639.0,234220.0,253420.0,10101.0,24289.0,35846.0,29953.0,13113.0,5102.0,6521.0,9717.0,17417.0,62312.0,37552.0,316474.0,11181.0,305293.0,14389.0,3179.0,10411.0,76396.0,10558.0,11273.0,31384.0,12932.0,84459.0,26314.0,15174.0,7547.0,2010,September,9.5,10.2,8.6,8.6,9.3,7.7,16.0,18.3,14.0,6.6,12.3,25.8,28.6,23.0,23.5,26.5,20.5,48.9,47.5,50.5,31.7,32.1,31.3,8.8,9.6,8.0,8.0,8.7,7.1,14.9,17.2,12.8,11.5,11.6,11.2,14.8,16.9,12.5,9.8,10.6,8.9,8.3,8.4,8.1,7.5,8.3,6.7,7.1,7.8,6.3,8.2,8.8,7.4,15.6,9.7,8.9,4.5
57,2010-10,798248.0,244857.0,553391.0,10152.0,36053.0,38960.0,39629.0,83548.0,5054.0,10461.0,16711.0,37582.0,17702.0,84284.0,87053.0,26403.0,15452.0,7457.0,36890.0,491121.0,233388.0,257733.0,9598.0,23044.0,35613.0,29559.0,12394.0,5021.0,6076.0,10485.0,17643.0,70644.0,36219.0,307128.0,11469.0,295659.0,13008.0,3347.0,10071.0,71154.0,10348.0,10635.0,27098.0,13640.0,86962.0,25995.0,14643.0,7442.0,2010,October,9.4,10.1,8.7,8.6,9.2,7.8,15.6,17.6,13.9,7.2,12.3,27.2,29.0,25.5,23.5,25.7,21.2,48.4,51.7,45.1,31.2,31.0,31.3,8.7,9.4,8.0,8.0,8.6,7.2,14.3,16.2,12.7,11.5,11.2,12.0,15.3,16.8,13.8,9.6,10.1,9.0,7.8,8.1,7.5,7.6,8.2,7.0,7.1,8.1,6.0,8.1,8.6,7.4,15.0,9.8,8.2,4.6
58,2010-11,800934.0,245590.0,555344.0,9882.0,35488.0,38329.0,40292.0,83549.0,5421.0,10209.0,16850.0,36377.0,18085.0,91863.0,85148.0,24874.0,15626.0,8154.0,35195.0,499405.0,234250.0,265154.0,9326.0,22332.0,35243.0,29843.0,13125.0,5377.0,6311.0,10222.0,18067.0,79263.0,34646.0,301529.0,11340.0,290189.0,13156.0,3085.0,10449.0,70424.0,10108.0,10539.0,26155.0,12601.0,85065.0,24450.0,14854.0,8136.0,2010,November,9.8,10.5,9.0,8.9,9.7,8.1,16.2,18.1,14.4,7.5,12.9,24.8,26.7,22.7,21.7,23.9,19.2,46.2,47.9,44.5,30.5,32.2,28.4,9.2,9.9,8.4,8.4,9.1,7.6,14.9,16.9,13.3,12.1,12.1,12.1,16.1,18.5,13.5,10.4,10.9,9.9,7.8,7.9,7.6,8.1,9.0,7.0,7.2,7.8,6.5,8.4,8.9,7.8,15.4,10.0,8.6,5.0
59,2010-12,786301.0,245836.0,540465.0,10083.0,34893.0,37406.0,39339.0,82610.0,5076.0,9553.0,16366.0,37402.0,17566.0,90392.0,82069.0,24237.0,14925.0,6911.0,31638.0,493333.0,235936.0,257397.0,9288.0,22595.0,34277.0,29482.0,13016.0,5038.0,6247.0,10098.0,17533.0,77363.0,31102.0,292968.0,9899.0,283069.0,12298.0,3129.0,9856.0,69595.0,9468.0,10120.0,27305.0,13030.0,81968.0,23813.0,14186.0,6901.0,2010,December,9.3,10.0,8.5,8.5,9.2,7.7,15.5,17.3,13.9,7.2,12.9,25.3,28.0,22.4,23.0,26.3,19.5,44.0,41.9,45.9,34.0,37.4,30.0,8.7,9.4,8.0,7.9,8.5,7.2,14.4,16.4,12.7,12.0,12.3,11.5,15.1,16.8,13.3,9.9,10.3,9.4,7.7,7.9,7.6,7.5,8.3,6.6,6.8,7.3,6.2,8.0,8.5,7.4,15.0,9.8,8.1,4.8
60,2011-01,756808.0,247808.0,508999.0,9240.0,34729.0,37793.0,39400.0,82660.0,4928.0,9755.0,16117.0,36184.0,17184.0,62797.0,81367.0,23199.0,15116.0,7899.0,30632.0,463101.0,237392.0,225709.0,8755.0,21912.0,34364.0,28063.0,12416.0,4905.0,6274.0,9481.0,17164.0,51139.0,29987.0,293706.0,10416.0,283290.0,12817.0,3429.0,11338.0,70245.0,9654.0,9843.0,26703.0,11659.0,81293.0,22785.0,14488.0,7864.0,2011,January,9.1,9.7,8.5,8.1,8.7,7.5,15.8,18.1,13.7,6.8,12.3,25.7,27.8,23.5,22.9,24.7,20.9,45.0,48.1,41.7,32.0,34.6,28.6,8.5,9.0,7.9,7.5,8.0,7.0,14.6,16.8,12.7,11.3,11.6,11.0,15.2,16.2,14.1,9.3,9.8,8.8,7.4,7.7,7.1,7.2,7.8,6.6,6.7,7.3,6.3,7.7,8.2,7.1,14.3,9.5,8.1,4.3
61,2011-02,755410.0,246794.0,508616.0,9023.0,34390.0,38631.0,38946.0,81133.0,4394.0,10057.0,16681.0,35382.0,17654.0,63750.0,79963.0,22563.0,14649.0,8136.0,33266.0,466717.0,237097.0,229621.0,8485.0,21724.0,35380.0,28050.0,12508.0,4367.0,6199.0,9339.0,17628.0,52089.0,32647.0,288693.0,9697.0,278996.0,12666.0,3250.0,10896.0,68625.0,9914.0,10482.0,26043.0,11661.0,79899.0,22191.0,14062.0,8098.0,2011,February,9.0,9.5,8.5,8.1,8.5,7.6,15.5,17.6,13.7,6.7,11.8,24.1,26.1,21.9,21.3,23.3,19.2,38.4,40.2,36.5,30.6,31.5,29.4,8.4,8.9,7.9,7.6,8.0,7.1,14.7,16.7,12.9,11.0,11.0,10.9,15.3,16.4,14.1,9.5,9.7,9.2,7.4,7.5,7.3,7.1,7.5,6.6,6.5,7.2,5.6,7.6,8.0,7.2,14.0,9.7,7.9,4.3
62,2011-03,766241.0,248263.0,517977.0,8904.0,34569.0,39540.0,39796.0,84311.0,4382.0,9997.0,16309.0,35682.0,18312.0,66064.0,79074.0,23699.0,13906.0,8150.0,35282.0,475848.0,238670.0,237178.0,8247.0,22106.0,36099.0,28442.0,13379.0,4347.0,6008.0,9115.0,18203.0,54868.0,34676.0,290393.0,9594.0,280800.0,12463.0,3441.0,11354.0,70932.0,9793.0,10302.0,26567.0,11196.0,78995.0,22968.0,13284.0,8096.0,2011,March,9.0,9.5,8.4,8.0,8.4,7.4,15.8,18.2,13.6,7.3,11.6,24.4,26.6,22.2,21.0,23.0,19.0,42.4,41.0,43.8,32.7,34.3,30.7,8.4,8.8,7.8,7.4,7.9,6.9,14.7,17.2,12.5,10.7,10.6,10.8,15.0,16.4,13.3,9.3,9.5,9.0,7.2,7.4,7.1,7.2,7.8,6.5,6.5,6.9,6.0,7.6,7.9,7.2,14.1,9.7,7.5,4.4
63,2011-04,766778.0,251238.0,515541.0,8573.0,34915.0,41625.0,40011.0,83786.0,4300.0,10210.0,16214.0,35343.0,17918.0,68875.0,74931.0,22128.0,13979.0,8037.0,34697.0,481861.0,241939.0,239923.0,7996.0,22465.0,37987.0,27891.0,13188.0,4257.0,6951.0,8844.0,17861.0,56911.0,34064.0,284917.0,9299.0,275618.0,12451.0,3638.0,12120.0,70598.0,9986.0,9263.0,26499.0,11964.0,74889.0,21463.0,13412.0,8026.0,2011,April,9.1,9.6,8.5,8.1,8.6,7.5,16.5,18.7,14.5,6.5,11.9,24.7,28.1,21.2,21.8,24.8,18.7,41.2,46.3,36.3,26.4,30.1,21.4,8.5,8.9,8.0,7.5,8.0,7.0,15.5,17.5,13.7,11.2,10.8,11.8,14.9,16.3,13.3,9.8,10.1,9.3,7.4,7.3,7.5,7.2,7.7,6.6,6.5,7.0,5.8,7.7,8.1,7.3,14.7,9.9,7.5,4.5
64,2011-05,772355.0,251734.0,520622.0,8773.0,35788.0,43321.0,39142.0,83759.0,4100.0,10280.0,16681.0,34598.0,17786.0,69633.0,75973.0,22177.0,13215.0,7906.0,37489.0,489491.0,242554.0,246937.0,8077.0,23500.0,39527.0,27259.0,13337.0,4065.0,7278.0,8928.0,17679.0,59110.0,36799.0,282865.0,9180.0,273685.0,12288.0,3794.0,11884.0,70422.0,10071.0,9402.0,25671.0,10523.0,75936.0,21684.0,12604.0,7879.0,2011,May,9.0,9.5,8.5,7.9,8.3,7.5,16.3,18.5,14.3,7.2,11.6,23.9,27.0,20.9,20.1,22.2,18.1,40.9,46.2,34.7,27.7,28.9,26.4,8.5,8.8,8.0,7.5,7.8,7.1,15.3,17.3,13.6,10.9,10.4,11.7,14.8,15.8,13.7,9.5,9.9,9.0,7.5,7.4,7.6,7.2,7.7,6.5,6.7,7.0,6.3,7.7,8.0,7.4,14.5,9.6,7.8,4.5
65,2011-06,791857.0,253305.0,538552.0,9325.0,36132.0,45002.0,41071.0,83903.0,4031.0,10716.0,16280.0,35043.0,18261.0,75413.0,75948.0,23358.0,13647.0,7989.0,42435.0,507488.0,244538.0,262949.0,8457.0,24036.0,41145.0,29199.0,14919.0,4002.0,7050.0,9180.0,18134.0,63662.0,41628.0,284369.0,8766.0,275603.0,12096.0,3856.0,11873.0,68984.0,10465.0,9230.0,25863.0,11751.0,75914.0,22849.0,12978.0,7913.0,2011,June,9.1,9.6,8.5,8.1,8.5,7.6,16.2,17.9,14.7,6.5,11.5,24.5,27.1,21.9,21.9,24.5,19.2,39.3,41.2,37.4,32.5,32.8,32.1,8.5,9.0,8.0,7.5,7.9,7.1,15.3,17.0,13.8,10.6,10.1,11.4,14.3,15.1,13.5,9.6,10.1,9.1,7.7,8.0,7.3,7.3,7.6,7.0,6.9,7.8,6.1,7.9,8.4,7.4,14.4,10.0,8.3,4.3
66,2011-07,789330.0,254686.0,534644.0,8735.0,35128.0,45075.0,41283.0,83716.0,4271.0,10470.0,16074.0,33664.0,17844.0,76023.0,76201.0,22869.0,14432.0,7328.0,41532.0,509466.0,246719.0,262747.0,7943.0,23612.0,41299.0,29358.0,14662.0,4247.0,6890.0,9362.0,17662.0,65395.0,40811.0,279864.0,7967.0,271897.0,11516.0,3776.0,11925.0,69054.0,10196.0,9183.0,24303.0,10629.0,76166.0,22413.0,13771.0,7246.0,2011,July,9.0,9.5,8.4,8.0,8.4,7.4,15.9,17.7,14.4,7.4,11.2,24.7,26.9,22.5,22.7,24.9,20.4,38.8,38.1,39.5,34.7,37.7,30.7,8.4,8.8,7.9,7.4,7.8,6.9,15.2,16.9,13.6,10.2,9.9,10.8,14.5,15.3,13.6,9.6,10.2,9.0,7.0,7.3,6.5,7.1,7.6,6.6,6.8,7.3,6.4,7.7,8.1,7.1,14.5,9.1,8.3,4.2
67,2011-08,808818.0,256825.0,551993.0,9027.0,36552.0,46240.0,40872.0,86842.0,4459.0,11099.0,15459.0,35746.0,18082.0,81031.0,77984.0,22013.0,14762.0,8057.0,43769.0,521126.0,248742.0,272384.0,8133.0,24494.0,42040.0,29421.0,14531.0,4402.0,6763.0,9755.0,17936.0,70423.0,42902.0,287691.0,8083.0,279609.0,12059.0,4200.0,11451.0,72311.0,10851.0,8695.0,25991.0,10608.0,77952.0,21519.0,14140.0,7871.0,2011,August,9.0,9.4,8.5,7.9,8.2,7.5,16.4,18.6,14.4,7.2,11.2,25.0,27.4,22.4,22.3,25.9,18.6,46.6,44.3,49.1,36.8,39.7,33.4,8.4,8.7,7.9,7.3,7.6,7.0,15.3,17.5,13.3,10.1,9.4,11.0,14.5,15.9,12.9,9.4,9.6,9.1,7.7,8.0,7.4,7.0,7.3,6.8,6.6,7.0,6.5,7.7,8.0,7.3,14.1,9.3,8.3,4.2
68,2011-09,810890.0,255523.0,555368.0,9298.0,37208.0,43565.0,40879.0,88500.0,4235.0,10486.0,15570.0,34180.0,18236.0,81291.0,82186.0,22094.0,14268.0,7073.0,46301.0,521354.0,247382.0,273972.0,8347.0,24199.0,39831.0,29848.0,14618.0,4199.0,7124.0,9799.0,17930.0,71496.0,45106.0,289537.0,8141.0,281396.0,13008.0,3734.0,11030.0,73882.0,10288.0,8445.0,24381.0,9795.0,82178.0,21641.0,13576.0,6949.0,2011,September,9.0,9.3,8.7,7.9,8.2,7.5,15.9,17.3,14.7,8.0,11.2,24.4,27.3,21.5,21.3,24.9,17.7,44.4,43.0,45.7,27.9,32.3,22.5,8.4,8.7,8.2,7.4,7.6,7.1,14.9,16.3,13.6,10.5,10.0,11.3,14.6,15.5,13.6,9.5,9.6,9.5,7.5,7.6,7.4,7.1,7.4,6.9,6.6,6.8,6.4,7.7,7.9,7.5,14.3,9.4,8.5,4.2
69,2011-10,805478.0,257406.0,548072.0,9177.0,35668.0,42763.0,39170.0,87033.0,3976.0,10147.0,15398.0,33280.0,18520.0,80727.0,82777.0,22076.0,14786.0,7221.0,45354.0,520903.0,249921.0,270982.0,8371.0,23829.0,39185.0,29181.0,14611.0,3935.0,6804.0,9575.0,18271.0,71097.0,44638.0,284575.0,7485.0,277090.0,11839.0,3578.0,9989.0,72422.0,9949.0,8594.0,23705.0,9630.0,82767.0,21587.0,14121.0,7096.0,2011,October,8.8,9.2,8.4,7.9,8.4,7.4,14.6,16.6,12.9,7.4,11.3,24.2,27.3,21.1,22.1,26.0,18.1,37.5,38.1,37.0,30.2,33.3,26.2,8.2,8.6,7.8,7.4,7.7,7.0,13.8,15.8,12.1,10.4,10.2,10.8,13.9,14.7,13.0,9.5,9.9,9.0,7.2,7.5,6.8,6.9,7.2,6.5,7.0,7.2,6.6,7.6,8.0,7.3,13.5,9.4,8.1,4.3
70,2011-11,809308.0,251660.0,557649.0,9632.0,38058.0,43712.0,40288.0,86195.0,3896.0,10565.0,16017.0,33402.0,17742.0,83837.0,85067.0,22762.0,14202.0,6493.0,45782.0,522313.0,244537.0,277776.0,8856.0,25790.0,40295.0,29705.0,15344.0,3877.0,6868.0,9968.0,17530.0,73055.0,44834.0,286995.0,7123.0,279873.0,12268.0,3417.0,10583.0,70851.0,10359.0,9149.0,23434.0,10782.0,85049.0,22127.0,13519.0,6381.0,2011,November,8.6,8.9,8.3,7.7,7.9,7.4,15.6,17.5,13.9,6.4,11.2,24.2,27.1,21.2,22.1,25.6,18.6,39.7,41.9,37.9,32.6,34.6,29.8,8.0,8.2,7.8,7.1,7.2,6.9,14.7,16.6,12.9,10.2,9.9,10.7,14.3,16.0,12.4,9.1,9.1,9.1,7.0,7.0,7.0,6.6,6.6,6.6,6.3,6.6,6.2,7.3,7.4,7.2,12.8,8.8,7.7,4.4
71,2011-12,818678.0,252401.0,566277.0,9982.0,38383.0,44527.0,41467.0,87633.0,4078.0,10916.0,15785.0,35818.0,15242.0,88294.0,83653.0,23713.0,13121.0,6142.0,47524.0,529305.0,245295.0,284011.0,9208.0,26576.0,40815.0,30297.0,15386.0,4034.0,6655.0,10778.0,14991.0,77332.0,46481.0,289373.0,7107.0,282266.0,11807.0,3712.0,11170.0,72247.0,10726.0,9130.0,25041.0,10962.0,83606.0,23167.0,12535.0,6054.0,2011,December,8.5,8.7,8.3,7.5,7.8,7.2,15.4,16.6,14.4,6.8,11.1,23.3,27.2,19.2,20.7,24.0,17.4,42.2,48.7,34.2,28.7,30.1,26.7,7.9,8.0,7.8,7.0,7.2,6.8,14.4,15.1,13.7,10.3,10.0,10.7,14.3,15.3,13.1,9.3,9.2,9.3,6.8,6.6,7.0,6.5,6.4,6.6,6.2,6.1,6.1,7.2,7.1,7.3,13.7,8.7,7.6,4.1
72,2012-01,827631.0,256244.0,571387.0,10019.0,37493.0,45210.0,42281.0,87490.0,4025.0,10712.0,16185.0,35052.0,17012.0,97364.0,79503.0,23941.0,14582.0,6049.0,44470.0,542841.0,248890.0,293950.0,9452.0,25635.0,41784.0,31202.0,16068.0,4001.0,6399.0,10279.0,16776.0,87335.0,43668.0,284790.0,7354.0,277437.0,11857.0,3426.0,11079.0,71422.0,10559.0,9786.0,24773.0,10029.0,79329.0,23386.0,14196.0,5967.0,2012,January,8.3,8.4,8.2,7.4,7.6,7.2,13.6,13.7,13.5,6.7,10.7,23.6,26.0,21.3,21.5,25.0,17.9,38.8,35.3,42.0,24.3,26.5,21.7,7.7,7.7,7.6,6.9,7.0,6.8,12.6,12.8,12.4,10.0,9.4,10.9,13.3,14.4,12.0,9.0,8.9,9.1,6.8,6.4,7.4,6.4,6.2,6.5,5.9,6.0,5.9,7.0,6.9,7.1,13.0,8.5,7.1,4.3
73,2012-02,821286.0,251039.0,570247.0,9597.0,38428.0,44739.0,42417.0,85975.0,4108.0,11004.0,15702.0,34563.0,16736.0,97981.0,80610.0,23984.0,13651.0,5799.0,44955.0,538533.0,244421.0,294111.0,8933.0,27389.0,41759.0,31517.0,16092.0,4081.0,6057.0,9142.0,16520.0,87409.0,43965.0,282754.0,6618.0,276136.0,11039.0,2980.0,10900.0,69883.0,10897.0,9646.0,25421.0,10571.0,80527.0,23366.0,13305.0,5705.0,2012,February,8.3,8.4,8.1,7.4,7.5,7.3,14.0,15.5,12.7,6.2,10.9,23.8,27.1,20.6,21.1,23.9,18.3,34.4,42.8,27.0,27.8,31.5,23.6,7.7,7.7,7.6,6.9,6.9,6.8,13.2,14.4,12.1,10.0,9.4,10.9,13.8,15.7,11.7,8.6,8.6,8.7,6.8,6.4,7.3,6.5,6.3,6.7,5.8,5.7,6.0,7.0,6.8,7.2,13.1,8.3,7.2,4.2
74,2012-03,826079.0,255452.0,570626.0,10756.0,38591.0,46255.0,42679.0,86065.0,3994.0,10765.0,15622.0,34314.0,16113.0,96997.0,79130.0,23485.0,13321.0,6322.0,46219.0,546127.0,249074.0,297053.0,9920.0,27057.0,42834.0,31400.0,16325.0,3966.0,6153.0,9968.0,15785.0,87333.0,45132.0,279952.0,6379.0,273573.0,11534.0,3421.0,11278.0,69740.0,10646.0,9469.0,24346.0,9664.0,79021.0,22982.0,12951.0,6242.0,2012,March,8.2,8.4,8.0,7.3,7.5,7.1,14.0,15.1,13.0,6.4,10.6,24.8,26.6,23.1,22.2,25.0,19.3,41.5,40.6,42.3,31.4,34.6,27.8,7.6,7.7,7.4,6.7,6.8,6.6,12.9,14.1,11.8,9.6,9.3,9.9,13.0,14.0,11.9,8.7,8.9,8.5,6.4,6.6,6.3,6.3,6.1,6.5,6.2,6.3,6.0,6.9,7.0,6.8,12.8,8.1,7.5,4.1
75,2012-04,838426.0,261718.0,576708.0,10854.0,37664.0,47131.0,43579.0,83649.0,3842.0,10522.0,15253.0,35061.0,16150.0,101091.0,82523.0,22695.0,13616.0,6086.0,46995.0,559654.0,255252.0,304401.0,10171.0,26300.0,43877.0,32549.0,16304.0,3819.0,6177.0,10602.0,15922.0,91194.0,46145.0,278772.0,6466.0,272307.0,11364.0,3254.0,11030.0,67345.0,10432.0,9075.0,24459.0,9898.0,82373.0,22151.0,13124.0,6019.0,2012,April,8.2,8.3,8.0,7.4,7.5,7.4,13.3,15.1,11.6,5.4,10.3,25.0,27.5,22.4,22.8,25.6,19.9,37.8,40.3,35.2,28.4,29.4,26.9,7.5,7.6,7.4,6.8,6.8,6.9,12.3,14.0,10.8,9.4,9.0,9.9,13.3,14.5,12.1,8.2,8.2,8.3,6.6,6.5,6.7,6.2,6.1,6.3,6.3,6.3,6.1,6.8,6.8,6.9,12.5,8.0,7.6,4.0
76,2012-05,847450.0,266356.0,581095.0,10687.0,37142.0,47006.0,43414.0,82878.0,3734.0,10623.0,15588.0,36692.0,16096.0,103773.0,83927.0,22546.0,13425.0,6395.0,47170.0,565902.0,260320.0,305582.0,10020.0,26535.0,43998.0,32196.0,16435.0,3703.0,6051.0,10637.0,15883.0,92725.0,46011.0,281548.0,6036.0,275512.0,10607.0,3008.0,11218.0,66443.0,10508.0,9536.0,26054.0,11048.0,83779.0,22001.0,12921.0,6320.0,2012,May,8.2,8.4,7.9,7.4,7.6,7.2,13.5,14.9,12.3,5.5,10.9,24.4,26.8,21.8,21.8,24.2,19.1,35.5,36.6,34.6,31.6,32.1,31.0,7.5,7.7,7.4,6.8,6.9,6.7,12.7,14.1,11.4,9.8,9.9,9.7,13.0,14.2,11.7,8.2,8.0,8.6,6.7,6.5,6.9,6.3,6.4,6.1,6.5,7.0,5.9,6.9,7.0,6.9,12.9,8.3,7.7,3.9
77,2012-06,854241.0,271930.0,582310.0,10799.0,36955.0,47699.0,43405.0,85409.0,3898.0,10471.0,15245.0,39116.0,16074.0,98858.0,86012.0,21682.0,12857.0,6216.0,47615.0,568486.0,265895.0,302591.0,10004.0,26430.0,44588.0,32613.0,16652.0,3869.0,5775.0,10882.0,15895.0,88218.0,46496.0,285755.0,6035.0,279719.0,10524.0,3111.0,10792.0,68758.0,10344.0,9470.0,28234.0,10641.0,85853.0,21141.0,12588.0,6143.0,2012,June,8.2,8.4,7.9,7.3,7.6,7.0,14.5,15.2,13.9,6.1,10.9,23.3,25.6,20.8,20.7,23.7,17.6,38.2,37.9,38.4,28.3,30.2,26.0,7.6,7.7,7.4,6.8,7.0,6.6,13.5,14.3,12.9,10.0,9.8,10.3,13.6,15.0,12.0,8.2,7.9,8.5,7.0,7.1,7.0,6.4,6.4,6.4,6.2,6.7,5.7,7.0,7.0,6.9,12.6,8.6,7.3,4.0
78,2012-07,854887.0,275659.0,579228.0,11077.0,37478.0,47851.0,43192.0,87190.0,3864.0,10853.0,15630.0,38595.0,16346.0,96772.0,82585.0,20794.0,12652.0,6069.0,48281.0,574074.0,269539.0,304534.0,10315.0,27306.0,44897.0,32276.0,17384.0,3836.0,6303.0,11126.0,16086.0,86276.0,47315.0,280813.0,6120.0,274693.0,10172.0,2954.0,10916.0,69806.0,10749.0,9327.0,27468.0,10496.0,82360.0,20215.0,12211.0,6003.0,2012,July,8.2,8.3,8.0,7.3,7.4,7.2,14.2,16.0,12.6,5.9,10.2,23.6,26.1,21.1,21.2,23.4,18.8,35.8,37.6,34.1,27.3,29.4,24.6,7.6,7.7,7.4,6.7,6.8,6.7,13.3,15.1,11.7,9.3,8.8,10.0,13.4,14.8,11.9,8.1,7.8,8.4,6.7,6.5,7.0,6.5,6.6,6.4,6.2,6.5,5.7,6.9,6.9,6.9,12.4,8.5,7.2,4.1
79,2012-08,858695.0,281436.0,577259.0,10971.0,38454.0,47877.0,43201.0,85282.0,3747.0,10533.0,15130.0,38660.0,15930.0,97221.0,81259.0,21592.0,13039.0,6481.0,47882.0,577996.0,275185.0,302812.0,10221.0,28077.0,44888.0,32368.0,16937.0,3703.0,6398.0,11293.0,15651.0,85186.0,46790.0,280699.0,6251.0,274448.0,10377.0,2989.0,10832.0,68344.0,10454.0,8733.0,27368.0,12036.0,81024.0,21045.0,12671.0,6409.0,2012,August,8.1,8.3,7.8,7.2,7.5,6.9,13.8,14.9,12.8,5.9,10.1,24.2,28.3,20.1,22.6,26.9,18.1,37.4,43.6,32.1,28.2,32.1,23.3,7.4,7.6,7.3,6.6,6.7,6.5,12.9,13.8,12.0,9.2,8.6,10.0,13.9,15.0,12.6,8.2,8.1,8.2,6.6,6.3,7.0,6.3,6.4,6.2,5.8,6.2,5.6,6.7,6.8,6.7,11.8,8.6,6.7,4.1
80,2012-09,861991.0,287479.0,574512.0,10818.0,38131.0,48302.0,41262.0,84114.0,3754.0,10200.0,15662.0,39241.0,16050.0,99550.0,77510.0,21443.0,12977.0,6550.0,48949.0,587030.0,281524.0,305507.0,10242.0,28753.0,45457.0,30258.0,16981.0,3731.0,6208.0,11598.0,15857.0,87266.0,47936.0,274961.0,5956.0,269006.0,9378.0,2845.0,11004.0,67134.0,10110.0,9454.0,27643.0,12283.0,77355.0,20837.0,12650.0,6508.0,2012,September,7.8,8.0,7.6,7.0,7.2,6.7,13.6,15.2,12.1,4.9,9.7,23.8,27.1,20.4,21.2,24.2,18.2,37.2,42.9,31.7,28.2,31.0,24.8,7.2,7.3,7.1,6.4,6.6,6.2,12.6,14.0,11.3,8.8,8.1,9.8,12.3,13.5,11.0,8.0,7.9,8.2,6.3,6.1,6.4,6.0,6.1,6.0,5.9,6.3,5.4,6.6,6.6,6.5,11.7,8.5,6.6,4.0
